S.no,Statement,Status
852,I don't have any fear and I feel like I just hit the limit yesterday,Normal
853,"I dreamed of being in the same dorm as Chan. Then I took a very long nap and was dazed. When I woke up, I saw the sky was clear.",Normal
854,The main key is being able to survive online lectures and being honest with yourself and having friends to talk to. ,Normal
855,luckily mom thought I was just commenting with bing. hahahaha,Normal
856,"Since yesterday, I wanted to do image work, there's a problem, today I want to print out all the lecture notes. I don't see it right away. ",Normal
857,this is the first time I feel like a normal girl,Normal
858,Heyy i miss darling :(( Where are you :((,Normal
859,G-Dragon's childhood friend is Super Junior's Kangin,Normal
860,Suddenly want blonde hair,Normal
861,Lucky to have a special voting account,Normal
862,"having a love triangle relationship between the cave, the bolster and the mattress feels really comfortable",Normal
863,I just really want to go home,Normal
864,"It's really weird, Toyota Indonesia's marketing director, wow, what's wrong with these people, don't you understand cars?",Normal
865,Why do you want to use the wet bag for the dry wastes?,Normal
866,Good morning everyone! Have a nice day ahead,Normal
867,"My guy wants to wash his shoes, please drop them at the workshop. We are waiting for your presence",Normal
868,This is the first time facing Pisces. Extra causious.,Normal
869,just woke up :( good morning,Normal
870,"It's enough for the THR to be divided, don't worry about your heart, okay?",Normal
871,"The Governor of East Java expressed his appreciation, bcoz the Regent for conveying in detail. Today the agricultural sector really needs to adapt to agricultural technology as well as the fisheries sector",Normal
872,"The dog's turn is already on the train, he's asked to come later",Normal
873,Oneus is crying for his baby picture . Geez,Normal
874,Have got a very itchy throat! :(,Normal
875,Earth's home? Where do you mean? Or is there a name for Earth's house?,Normal
876,"Everyone is fighting for my netflix, I'll serve it, you guys are smart, the important thing is don't bother my profile",Normal
877,I'm so tired of talking to random strangers.,Normal
878,We are a pair of shoes. Always together can't be together. We die like soulless. Move because of human feet,Normal
879,"Why did au au renhyuck end, oh God",Normal
880,ah pota midterm exam na sarap mamatai tho,Normal
881,watching nano which is s2 hours is ok or not?,Normal
882,"Just come, let's have sahur, melbu kerjo, take my motorbike, let's take a pill",Normal
883,"hi i just woke up, will be downstairs in a minute.",Normal
884,"once again said fierce. google, how to be not fierce?",Normal
885,"People have to spend a credit card on the member they choose, people will forget that if we spend the money card, the card owner will get an SMS",Normal
886,"Regret of people playing stocks/crypto, I bought it earlier, then I sold it.",Normal
887,tired of being hung by feelings that I shouldn't expect from him because he never expected me to come back,Normal
888,"I just woke up, what do you want dad?",Normal
889,"It's really a gabut that's all day long, it's been 2 years of Eid here, let's see, my friend..",Normal
890,Tomorrow will be a good day.. Amen,Normal
891,A photo of you being hit by poverty,Normal
892,How long does the 1 big strabucks coffee cup last?,Normal
893,The best way to keep making steps towards success is to always renew dreams.,Normal
894,when will you want this? Wednesday?,Normal
895,I'm so cranky that I can't sleep.... my gosh...,Normal
896,Just thankful to god for everything,Normal
897,It's worth not buying an airpod pro. But already bought. Haha,Normal
898,Green day is love,Normal
899,love is all part of a game played by 2 or more people,Normal
900,"It's getting worse and worse, I suddenly feel swelled",Normal
901,What color is the theme for your clothes?..Me: brown :D,Normal
902,"The ban on going home is not the same as the ban on going abroad. Except, abroad it is regulated by the country.",Normal
903,there is something I forgot.. but what......,Normal
904,"At the age of 25, I am still strong in living my life with all its problems. Thank God",Normal
905,"For sure, those who sell hampers will be happy because they get orders. Yes, I'll be happy if it's me. Those who receive it will also be happy because they get attention from their family, friends or colleagues.",Normal
906,are you on a vacation?,Normal
907,"my college friend wish happy bday, to miss college",Normal
908,"I don't know this poor person, people are busy protesting this!!",Normal
909,what's happier than waking up and seeing dreamies million seller,Normal
910,We love you tooo,Normal
911,"does anyone have a list, is it okay to vote on it? thanks bf!",Normal
912,These people are very careful,Normal
913,"My brother, Sonu, is the new owner of the farm",Normal
914,Like you want to fool yourself,Normal
915,where are you?,Normal
916,"Come on, just want a drama",Normal
917,"you need to take health insurance, while still young, right...",Normal
918,The night is still young and gorgeous,Normal
919,The important thing is to put in the effort,Normal
920,Bulmera has green hair. Eww!,Normal
921,"Until now, I'm still amazed by the efforts of kids for this project...Hopefully there will be good news tomorrow.",Normal
922,wake me up why it's getting late,Normal
923,"If you have to choose between me and him, choose him. Because if you really love me, there will be no other choice.",Normal
924,Doing fasting until the great comeback,Normal
925,"solo booth, it's better if you all go far away sis",Normal
926,"that's a lot of pretentious effort. until now, the work is not clear. But after being bullied by netizens, there are many who are fans of him.",Normal
927,Oh very tired right.,Normal
928,Pls comeback after this announcement,Normal
929,"The most adorable robot, robot just to deliver food, bye already",Normal
930,I'm really proud of you and dreamies it gives me goosebumps,Normal
931,"hello help tag this account, this sick account",Normal
932,"When will I have my own business at home, not working with people now. What's on hold",Normal
933,keep chasing until you die :),Normal
934,"Trying to experiment again.. if you deact red account, it will be green or not",Normal
935,"I'm doing an order for 150pcs burgers for tonight, tomorrow 70pcs, Wednesday 100pcs. smooth, good luck amen",Normal
936,"Busy and messy about the archeology insight test.... In the past, there wasn't any..But now it's too much pressure",Normal
937,"Seriously, I'm really sleepy. but i miss him",Normal
938,I have a friend who just can't be trusted at all,Normal
939,Eh.. When was the last time your dad came home?,Normal
940,"Mom! the bus is going really fast, like reeeaallyyy",Normal
941,Lambert is going back to the gangs to enlist? A little bit,Normal
942,woke up late on monday... I'm so not happy,Normal
943,"I'm sluggish, I don't match or what?",Normal
944,"Marina, why does it open the shelves in the afternoon?",Normal
945,"People who don't follow me, how about they mute my acc . Because there are a lot of spam on people these days",Normal
946,"It's true that dreams of sleeping after dawn are the most random, earlier I dreamed that you were participating in a cooking competition",Normal
947,"Tired.. really.. really, tired! Don't want to give it up..",Normal
948,"Happy Mother's Day to my mother, your mother and our future mothers. Eh",Normal
949,A friend is the one who saved me from the hell called loneliness,Normal
950,"If I go out, I don't see the phone, so I have to go out every day?",Normal
951,"The offline meeting is good, you can cut or return the conversation directly, without being constrained by your turn to talk and the internet network.",Normal
952,"If you're the kind to praise yourself, it's hard for you to know people",Normal
953,Just buy new tires. What are you even thinking so much for!,Normal
954,There are many things to tell. It's just the listeners who don't exist,Normal
955,"When the one who leaves gives you 100 reasons to cry, show him that you have 1000 reasons to smile.",Normal
956,"Remember to always be on TV, the one with the title Tiri is cruel. Apparently the one in my house is the same",Normal
957,I'm tired of you disappearing haha,Normal
958,Finally the eyes can be closed after taking a small sip of insect repellent. night..,Normal
959,I'm late again even though I'm already online class via chat...... bye.,Normal
960,"I want the vaccine, but I'm fasting and I wasn't in the morning, is that good?",Normal
961,"I hope that with 1.71 million sellers of Dreamies, SM will open their eyes to see the potential of Dreamies and not waste it anymore",Normal
962,"Have you ever panicked, your friend of the opposite sex has changed his attitude towards you, so he looks at you as a girl, not as a friend of the opposite sex.",Normal
963,"I want to rename inop first, inopcups looks like necstar",Normal
964,"bro, work is fun, just want my material hahahaha",Normal
965,Why do ideas have to come at bedtime?,Normal
966,Thank God.,Normal
967,Indonesian boys don't have medicine,Normal
968,again not according to expectations,Normal
969,How awesome is that dictation,Normal
970,Dobby is really cute,Normal
971,"trends for you, why don't you die, I'm tired of pressing that on you",Normal
972,How dare he wear a handbag like that when he rides a motorbike. His handbag isn't even cans.,Normal
973,When will my package be shipped? It's been days already,Normal
974,"look at the team, how many pts can you get once you play :)",Normal
975,"No need to show off about the existing reality. Later, when the harsh reality hits, you will know the feeling. I'm afraid no one will help.",Normal
976,"I don't know how long I will fall into lust, nor will my time limit be. I might pretend that I don't know that death can come to me at any time. So negligence becomes number one.",Normal
977,"How to make old people realize that working underpaid under 'gov' vs good salary in 'private sector' actually have pros and cons? Please explain later, with the current situation.",Normal
978,indeed everyone is sleepy to the story this morning,Normal
979,How many years did I get this year?,Normal
980,"May 10th, whose birthday is it, I don't remember, I still don't remember. It turns out to be my father's birthday which my mother remembers",Normal
981,"Even when I was on school leave, I didn't ask, it wasn't a mess. I'll ask the person working and look for it using previous data.",Normal
982,it's on MP3! the jp server doesn't watch commercials,Normal
983,"In writing this ad, just diversify your content so you can see different statistics and data... What works, continue. What didn't work, pause the ads.",Normal
984,"Friends are those who understand, trust, share, and forgive each other. Those who are always faithful through good times and bad.",Normal
985,gosh the hospital playlist song sung by bongbom,Normal
986,"Does anyone have a script gang? It's like complaining, asking questions, having trial sessions together. The one from the beginning of the idea to the end of the graduation.",Normal
987,hey it's not official right? June or not,Normal
988,"half a million to buy comics, it's like getting scolded",Normal
989,"Dream of watching Wonpil's musical but live, piri is really there.",Normal
990,"I'm sure today's class will be long, but it's okay we'll manage",Normal
991,"Chang is actually a cat, you knew that?",Normal
992,"for a while, I haven't taken a shower yet",Normal
993,tired of doing the finished task even for our relationship,Normal
994,"There are no principles! Orphanage people are asking for donations. I know I'm very sensitive to the doorbell, I'm still sleeping and dreaming I'm jumping.",Normal
995,"Yes, you are the most communist manifesto already",Normal
996,"still admire, even though it doesn't have the potential to have.",Normal
997,The kite has flown. Wait pigeons can help right?,Normal
998,Can you wash it?,Normal
999,Is there anything I can leave for my day's snacks?,Normal
1000,"I've gained weight I thought I was fat, it's you in my heart :)",Normal
